Time in Seconds,Time in Minutes,Pb1,Pb1-Pb2,Pb2,Pb3,Pb3-Pb4,Pb4,Fire-HF,Fire-CF,Amb-HF,Amb-CF
519.664185,8.661070,656.899231,78.921242,34.768734,21.259521,20.070885,20.002335,17.158991,8.689152,7.735310,8.278303
519.664185,8.661070,656.899231,78.921242,34.768734,21.259521,20.070885,20.002335,17.158991,8.689152,7.735310,8.278303
519.664185,8.661070,656.899231,78.921242,34.768734,21.259521,20.070885,20.002335,17.158991,8.689152,7.735310,8.278303
541.432068,9.023868,663.358032,81.211563,36.111774,21.425724,20.088787,20.003796,31.681063,9.183983,8.047008,22.010622
541.432068,9.023868,663.358032,81.211563,36.111774,21.425724,20.088787,20.003796,31.681063,9.183983,8.047008,22.010622
541.432068,9.023868,663.358032,81.211563,36.111774,21.425724,20.088787,20.003796,31.681063,9.183983,8.047008,22.010622
549.595032,9.159917,665.398743,82.060669,36.622093,21.495018,20.095846,20.004395,18.640495,9.373429,8.162459,8.724763
549.595032,9.159917,665.398743,82.060669,36.622093,21.495018,20.095846,20.004395,18.640495,9.373429,8.162459,8.724763
549.595032,9.159917,665.398743,82.060669,36.622093,21.495018,20.095846,20.004395,18.640495,9.373429,8.162459,8.724763
561.839539,9.363992,668.459900,83.319427,37.389809,21.593931,20.107239,20.005411,32.370453,9.661853,8.334421,21.991625
561.839539,9.363992,668.459900,83.319427,37.389809,21.593931,20.107239,20.005411,32.370453,9.661853,8.334421,21.991625
561.839539,9.363992,668.459900,83.319427,37.389809,21.593931,20.107239,20.005411,32.370453,9.661853,8.334421,21.991625
566.431213,9.440520,669.607788,83.789726,37.680534,21.634796,20.111626,20.005810,19.587254,9.771344,8.398552,9.101306
566.431213,9.440520,669.607788,83.789726,37.680534,21.634796,20.111626,20.005810,19.587254,9.771344,8.398552,9.101306
566.431213,9.440520,669.607788,83.789726,37.680534,21.634796,20.111626,20.005810,19.587254,9.771344,8.398552,9.101306
573.318726,9.555312,671.329651,84.491646,38.115742,21.692160,20.118469,20.006449,32.601925,9.936944,8.494395,21.840549
573.318726,9.555312,671.329651,84.491646,38.115742,21.692160,20.118469,20.006449,32.601925,9.936944,8.494395,21.840549
573.318726,9.555312,671.329651,84.491646,38.115742,21.692160,20.118469,20.006449,32.601925,9.936944,8.494395,21.840549
575.901489,9.598358,671.975403,84.754303,38.280285,21.715704,20.121073,20.006693,20.292339,9.999464,8.530228,9.508803
575.901489,9.598358,671.975403,84.754303,38.280285,21.715704,20.121073,20.006693,20.292339,9.999464,8.530228,9.508803
575.901489,9.598358,671.975403,84.754303,38.280285,21.715704,20.121073,20.006693,20.292339,9.999464,8.530228,9.508803
579.775757,9.662929,672.943909,85.146988,38.526093,21.748558,20.125063,20.007074,32.479511,10.093671,8.583864,21.519728
579.775757,9.662929,672.943909,85.146988,38.526093,21.748558,20.125063,20.007074,32.479511,10.093671,8.583864,21.519728
579.775757,9.662929,672.943909,85.146988,38.526093,21.748558,20.125063,20.007074,32.479511,10.093671,8.583864,21.519728
582.681396,9.711357,673.670349,85.440865,38.711891,21.775372,20.128103,20.007368,20.841536,10.164660,8.624002,9.851080
582.681396,9.711357,673.670349,85.440865,38.711891,21.775372,20.128103,20.007368,20.841536,10.164660,8.624002,9.851080
582.681396,9.711357,673.670349,85.440865,38.711891,21.775372,20.128103,20.007368,20.841536,10.164660,8.624002,9.851080
587.039917,9.783999,674.759949,85.881622,38.989590,21.813070,20.132772,20.007828,32.473804,10.271678,8.684069,21.267208
587.039917,9.783999,674.759949,85.881622,38.989590,21.813070,20.132772,20.007828,32.473804,10.271678,8.684069,21.267208
587.039917,9.783999,674.759949,85.881622,38.989590,21.813070,20.132772,20.007828,32.473804,10.271678,8.684069,21.267208
590.308777,9.838480,675.577209,86.212616,39.199425,21.843687,20.136337,20.008181,21.407103,10.352362,8.729007,10.158578
590.308777,9.838480,675.577209,86.212616,39.199425,21.843687,20.136337,20.008181,21.407103,10.352362,8.729007,10.158578
590.308777,9.838480,675.577209,86.212616,39.199425,21.843687,20.136337,20.008181,21.407103,10.352362,8.729007,10.158578
593.577637,9.892961,676.394409,86.544411,39.408401,21.872417,20.139963,20.008545,32.410816,10.433402,8.773849,20.982285
593.577637,9.892961,676.394409,86.544411,39.408401,21.872417,20.139963,20.008545,32.410816,10.433402,8.773849,20.982285
593.577637,9.892961,676.394409,86.544411,39.408401,21.872417,20.139963,20.008545,32.410816,10.433402,8.773849,20.982285
598.480957,9.974683,677.620239,87.044830,39.724251,21.918947,20.145546,20.009115,21.938030,10.555629,8.840932,10.399192
598.480957,9.974683,677.620239,87.044830,39.724251,21.918947,20.145546,20.009115,21.938030,10.555629,8.840932,10.399192
598.480957,9.974683,677.620239,87.044830,39.724251,21.918947,20.145546,20.009115,21.938030,10.555629,8.840932,10.399192
605.835938,10.097266,679.458984,87.803787,40.197140,21.985682,20.154243,20.010027,32.835155,10.740447,8.941148,20.933891
605.835938,10.097266,679.458984,87.803787,40.197140,21.985682,20.154243,20.010027,32.835155,10.740447,8.941148,20.933891
605.835938,10.097266,679.458984,87.803787,40.197140,21.985682,20.154243,20.010027,32.835155,10.740447,8.941148,20.933891
616.868408,10.281140,682.217102,88.964111,40.912682,22.094093,20.168043,20.011526,22.809986,11.020926,9.090534,10.548863
616.868408,10.281140,682.217102,88.964111,40.912682,22.094093,20.168043,20.011526,22.809986,11.020926,9.090534,10.548863
616.868408,10.281140,682.217102,88.964111,40.912682,22.094093,20.168043,20.011526,22.809986,11.020926,9.090534,10.548863
633.417114,10.556952,686.354248,90.742111,41.987164,22.254398,20.190489,20.014101,34.155067,11.448667,9.312375,21.148726
633.417114,10.556952,686.354248,90.742111,41.987164,22.254398,20.190489,20.014101,34.155067,11.448667,9.312375,21.148726
633.417114,10.556952,686.354248,90.742111,41.987164,22.254398,20.190489,20.014101,34.155067,11.448667,9.312375,21.148726
658.240112,10.970669,692.560059,93.435768,43.615509,22.517925,20.228281,20.018782,24.728394,12.105337,9.639655,10.805772
658.240112,10.970669,692.560059,93.435768,43.615509,22.517925,20.228281,20.018782,24.728394,12.105337,9.639655,10.805772
658.240112,10.970669,692.560059,93.435768,43.615509,22.517925,20.228281,20.018782,24.728394,12.105337,9.639655,10.805772
695.474670,11.591245,700.094910,97.401779,46.069702,22.926455,20.294731,20.027950,37.357693,13.123738,10.117737,21.813940
695.474670,11.591245,700.094910,97.401779,46.069702,22.926455,20.294731,20.027950,37.357693,13.123738,10.117737,21.813940
695.474670,11.591245,700.094910,97.401779,46.069702,22.926455,20.294731,20.027950,37.357693,13.123738,10.117737,21.813940
732.709229,12.211820,707.541870,101.102730,48.542038,23.374956,20.371424,20.039572,28.457272,14.183566,10.581435,11.486100
732.709229,12.211820,707.541870,101.102730,48.542038,23.374956,20.371424,20.039572,28.457272,14.183566,10.581435,11.486100
732.709229,12.211820,707.541870,101.102730,48.542038,23.374956,20.371424,20.039572,28.457272,14.183566,10.581435,11.486100
788.561035,13.142684,718.569519,105.842384,52.211689,24.083740,20.510544,20.063513,42.256393,15.855247,11.256218,22.875904
788.561035,13.142684,718.569519,105.842384,52.211689,24.083740,20.510544,20.063513,42.256393,15.855247,11.256218,22.875904
788.561035,13.142684,718.569519,105.842384,52.211689,24.083740,20.510544,20.063513,42.256393,15.855247,11.256218,22.875904
844.412842,14.073547,728.809021,110.981522,55.826324,24.859329,20.674694,20.094894,34.174278,17.625532,11.913243,12.649939
844.412842,14.073547,728.809021,110.981522,55.826324,24.859329,20.674694,20.094894,34.174278,17.625532,11.913243,12.649939
844.412842,14.073547,728.809021,110.981522,55.826324,24.859329,20.674694,20.094894,34.174278,17.625532,11.913243,12.649939
904.412842,15.073547,739.661926,116.260834,59.602417,25.725565,20.880335,20.138235,48.258610,19.629705,12.606280,24.234285
904.412842,15.073547,739.661926,116.260834,59.602417,25.725565,20.880335,20.138235,48.258610,19.629705,12.606280,24.234285
904.412842,15.073547,739.661926,116.260834,59.602417,25.725565,20.880335,20.138235,48.258610,19.629705,12.606280,24.234285
919.412842,15.323547,741.911926,117.505966,60.543259,25.952730,20.933586,20.149687,38.496933,20.146286,12.777987,14.004395
919.412842,15.323547,741.911926,117.505966,60.543259,25.952730,20.933586,20.149687,38.496933,20.146286,12.777987,14.004395
919.412842,15.323547,741.911926,117.505966,60.543259,25.952730,20.933586,20.149687,38.496933,20.146286,12.777987,14.004395
941.912842,15.698547,745.286926,119.300179,61.932652,26.288855,21.017616,20.168304,50.004929,20.931812,13.035028,24.521757
941.912842,15.698547,745.286926,119.300179,61.932652,26.288855,21.017616,20.168304,50.004929,20.931812,13.035028,24.521757
941.912842,15.698547,745.286926,119.300179,61.932652,26.288855,21.017616,20.168304,50.004929,20.931812,13.035028,24.521757
950.350342,15.839172,746.552551,119.968369,62.453655,26.420643,21.049715,20.175491,40.221706,21.229803,13.131392,14.543838
950.350342,15.839172,746.552551,119.968369,62.453655,26.420643,21.049715,20.175491,40.221706,21.229803,13.131392,14.543838
950.350342,15.839172,746.552551,119.968369,62.453655,26.420643,21.049715,20.175491,40.221706,21.229803,13.131392,14.543838
963.006592,16.050110,748.450989,120.976540,63.226120,26.613068,21.099182,20.186741,50.922295,21.680122,13.276154,24.641729
963.006592,16.050110,748.450989,120.976540,63.226120,26.613068,21.099182,20.186741,50.922295,21.680122,13.276154,24.641729
963.006592,16.050110,748.450989,120.976540,63.226120,26.613068,21.099182,20.186741,50.922295,21.680122,13.276154,24.641729
981.990967,16.366516,751.298645,122.619415,64.376831,26.915339,21.176365,20.204700,41.692406,22.362968,13.493945,14.812924
981.990967,16.366516,751.298645,122.619415,64.376831,26.915339,21.176365,20.204700,41.692406,22.362968,13.493945,14.812924
981.990967,16.366516,751.298645,122.619415,64.376831,26.915339,21.176365,20.204700,41.692406,22.362968,13.493945,14.812924
1000.975342,16.682922,754.146301,124.609970,65.510864,27.212461,21.256531,20.223770,52.753906,23.054255,13.712417,25.043947
1000.975342,16.682922,754.146301,124.609970,65.510864,27.212461,21.256531,20.223770,52.753906,23.054255,13.712417,25.043947
1000.975342,16.682922,754.146301,124.609970,65.510864,27.212461,21.256531,20.223770,52.753906,23.054255,13.712417,25.043947
1019.959717,16.999329,756.993958,126.858978,66.637825,27.523102,21.339685,20.243977,43.622086,23.753159,13.931229,15.317948
1019.959717,16.999329,756.993958,126.858978,66.637825,27.523102,21.339685,20.243977,43.622086,23.753159,13.931229,15.317948
1019.959717,16.999329,756.993958,126.858978,66.637825,27.523102,21.339685,20.243977,43.622086,23.753159,13.931229,15.317948
1038.944092,17.315735,759.841614,129.262070,67.748337,27.828384,21.425817,20.265343,54.594429,24.458855,14.150018,25.467463
1038.944092,17.315735,759.841614,129.262070,67.748337,27.828384,21.425817,20.265343,54.594429,24.458855,14.150018,25.467463
1038.944092,17.315735,759.841614,129.262070,67.748337,27.828384,21.425817,20.265343,54.594429,24.458855,14.150018,25.467463
1067.420654,17.790344,764.113098,132.927368,69.392166,28.307650,21.561705,20.300068,45.943844,25.528414,14.477807,15.880013
1067.420654,17.790344,764.113098,132.927368,69.392166,28.307650,21.561705,20.300068,45.943844,25.528414,14.477807,15.880013
1067.420654,17.790344,764.113098,132.927368,69.392166,28.307650,21.561705,20.300068,45.943844,25.528414,14.477807,15.880013
1110.135498,18.502258,770.018066,138.216064,71.783386,29.027214,21.780338,20.358389,58.321564,27.155081,14.969034,26.563099
1110.135498,18.502258,770.018066,138.216064,71.783386,29.027214,21.780338,20.358389,58.321564,27.155081,14.969034,26.563099
1110.135498,18.502258,770.018066,138.216064,71.783386,29.027214,21.780338,20.358389,58.321564,27.155081,14.969034,26.563099
1170.135498,19.502258,777.515808,145.084503,75.008423,30.085806,22.116064,20.453020,50.945152,29.481112,15.661407,17.180906
1170.135498,19.502258,777.515808,145.084503,75.008423,30.085806,22.116064,20.453020,50.945152,29.481112,15.661407,17.180906
1170.135498,19.502258,777.515808,145.084503,75.008423,30.085806,22.116064,20.453020,50.945152,29.481112,15.661407,17.180906
1230.135498,20.502258,785.018066,152.676224,78.094086,31.149799,22.479271,20.560631,64.273773,31.851065,16.360674,28.340778
1230.135498,20.502258,785.018066,152.676224,78.094086,31.149799,22.479271,20.560631,64.273773,31.851065,16.360674,28.340778
