s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"Pb1","Pb1-Pb2","Pb2","Pb3","Pb3-Pb4","Pb4","AHF","AHF-Extra","ACF","ACF-Extra","ACF-Extra2","FHF","FHF-Extra","FHF-Extra2","FCF","FCF-Extra"
 9.3604681E+002, 5.6458006E+001, 1.0464045E+002, 6.9201861E+002, 2.1044077E+001, 2.0138754E+001, 2.0037963E+001, 3.1559685E+001, 3.1559685E+001, 2.2236760E+001, 2.2236760E+001, 2.2236760E+001, 3.2552319E+001, 3.2552319E+001, 3.2552319E+001, 2.3772046E+001, 2.3772046E+001
 9.5040339E+002, 5.7501090E+001, 1.0720941E+002, 6.9519311E+002, 2.1100614E+001, 2.0147511E+001, 2.0040124E+001, 3.2042455E+001, 3.2042455E+001, 2.2371262E+001, 2.2371262E+001, 2.2371262E+001, 3.3040583E+001, 3.3040583E+001, 3.3040583E+001, 2.3963225E+001, 2.3963225E+001
 9.6481539E+002, 5.8566877E+001, 1.0970394E+002, 6.9834089E+002, 2.1157851E+001, 2.0156763E+001, 2.0042432E+001, 3.2529629E+001, 3.2529629E+001, 2.2509015E+001, 2.2509015E+001, 2.2509015E+001, 3.3553752E+001, 3.3553752E+001, 3.3553752E+001, 2.4148732E+001, 2.4148732E+001
 9.7922740E+002, 5.9648383E+001, 1.1213199E+002, 7.0140622E+002, 2.1216927E+001, 2.0166543E+001, 2.0044901E+001, 3.3031562E+001, 3.3031562E+001, 2.2650989E+001, 2.2650989E+001, 2.2650989E+001, 3.4092256E+001, 3.4092256E+001, 3.4092256E+001, 2.4354856E+001, 2.4354856E+001
 9.9360175E+002, 6.0740781E+001, 1.1448733E+002, 7.0438813E+002, 2.1274214E+001, 2.0176833E+001, 2.0047532E+001, 3.3538605E+001, 3.3538605E+001, 2.2794869E+001, 2.2794869E+001, 2.2794869E+001, 3.4658387E+001, 3.4658387E+001, 3.4658387E+001, 2.4571850E+001, 2.4571850E+001
 1.0080138E+003, 6.1853754E+001, 1.1664361E+002, 7.0733238E+002, 2.1336245E+001, 2.0187657E+001, 2.0050335E+001, 3.4059016E+001, 3.4059016E+001, 2.2939278E+001, 2.2939278E+001, 2.2939278E+001, 3.5224411E+001, 3.5224411E+001, 3.5224411E+001, 2.4785766E+001, 2.4785766E+001
 1.0224258E+003, 6.2968460E+001, 1.1848003E+002, 7.1024369E+002, 2.1400777E+001, 2.0199038E+001, 2.0053323E+001, 3.4593699E+001, 3.4593699E+001, 2.3092264E+001, 2.3092264E+001, 2.3092264E+001, 3.5775816E+001, 3.5775816E+001, 3.5775816E+001, 2.5003101E+001, 2.5003101E+001
 1.0368378E+003, 6.4076310E+001, 1.2010778E+002, 7.1308774E+002, 2.1470302E+001, 2.0210972E+001, 2.0056501E+001, 3.5142102E+001, 3.5142102E+001, 2.3258300E+001, 2.3258300E+001, 2.3258300E+001, 3.6317467E+001, 3.6317467E+001, 3.6317467E+001, 2.5221505E+001, 2.5221505E+001
 1.0512498E+003, 6.5191719E+001, 1.2159542E+002, 7.1585560E+002, 2.1540813E+001, 2.0223476E+001, 2.0059878E+001, 3.5698236E+001, 3.5698236E+001, 2.3425271E+001, 2.3425271E+001, 2.3425271E+001, 3.6904907E+001, 3.6904907E+001, 3.6904907E+001, 2.5460777E+001, 2.5460777E+001
 1.0656063E+003, 6.6301001E+001, 1.2297732E+002, 7.1858061E+002, 2.1612416E+001, 2.0236540E+001, 2.0063454E+001, 3.6260335E+001, 3.6260335E+001, 2.3599845E+001, 2.3599845E+001, 2.3599845E+001, 3.7507236E+001, 3.7507236E+001, 3.7507236E+001, 2.5701151E+001, 2.5701151E+001
 1.0800515E+003, 6.7406963E+001, 1.2428060E+002, 7.2127524E+002, 2.1685150E+001, 2.0250226E+001, 2.0067250E+001, 3.6831792E+001, 3.6831792E+001, 2.3775641E+001, 2.3775641E+001, 2.3775641E+001, 3.8093903E+001, 3.8093903E+001, 3.8093903E+001, 2.5942379E+001, 2.5942379E+001
 1.0944325E+003, 6.8501591E+001, 1.2552215E+002, 7.2391513E+002, 2.1761306E+001, 2.0264545E+001, 2.0071273E+001, 3.7408959E+001, 3.7408959E+001, 2.3956315E+001, 2.3956315E+001, 2.3956315E+001, 3.8702626E+001, 3.8702626E+001, 3.8702626E+001, 2.6189353E+001, 2.6189353E+001
 1.1088445E+003, 6.9587022E+001, 1.2672142E+002, 7.2647313E+002, 2.1837394E+001, 2.0279484E+001, 2.0075523E+001, 3.7995415E+001, 3.7995415E+001, 2.4139753E+001, 2.4139753E+001, 2.4139753E+001, 3.9348398E+001, 3.9348398E+001, 3.9348398E+001, 2.6451220E+001, 2.6451220E+001
