TimeStamp,Time in Sec,Kyowa PG 500 KUM _Load in bar_(bar),Load in kN,Stud1_Axial,Stud2_Axial,Stud3_Axial,Stud4_Axial,Stud2_Top,Stud2_Mid,Stud2_Bottom,Stud3_Top,Stud3_Mid,Stud3_Bottom
45:36.9,1.24,-51.224876,16.45855266,3.579474,4.224746,5.065434,5.472598,1.241346,1.98023,2.082059,1.251196,1.96386,2.019699
45:37.9,1.25,-51.170578,16.44110671,3.57619,4.22803,5.072001,5.487375,1.238062,1.98023,2.078775,1.256122,1.970428,2.016415
45:38.9,1.27,-51.131073,16.42841375,3.569622,4.226388,5.067075,5.489017,1.241346,1.98023,2.078775,1.2709,1.967144,2.016415
45:39.9,1.29,-51.097301,16.41756281,3.579474,4.224746,5.067075,5.489017,1.238062,1.976946,2.078775,1.244628,1.967144,2.016415
45:40.9,1.30,-51.041019,16.3994794,3.572906,4.226388,5.073643,5.484091,1.234778,1.986797,2.078775,1.257764,1.973712,2.016415
45:41.9,1.32,-51.023582,16.3938769,3.5844,4.22803,5.063792,5.489017,1.238062,1.98023,2.082059,1.251196,1.967144,2.016415
45:42.9,1.34,-50.966858,16.37565148,3.574548,4.22803,5.065434,5.498869,1.234778,1.98023,2.082059,1.251196,1.967144,2.019699
45:44.0,1.36,-50.952511,16.37104178,3.574548,4.229672,5.070359,5.462746,1.234778,1.983513,2.07549,1.257764,1.970428,2.019699
45:45.0,1.37,-50.919624,16.36047519,3.575369,4.22803,5.067075,5.495585,1.238062,1.98023,2.082059,1.251196,1.96386,2.016415
45:46.0,1.39,-50.878792,16.34735587,3.574548,4.226388,5.065434,5.493943,1.241346,1.98023,2.078775,1.244628,1.967144,2.019699
45:47.0,1.41,-50.854958,16.33969801,3.577832,4.226388,5.070359,5.489838,1.241346,1.98023,2.078775,1.247912,1.96386,2.019699
45:48.0,1.42,-50.825821,16.33033629,3.583579,4.22803,5.072001,5.484912,1.241346,1.976946,2.078775,1.247912,1.96386,2.019699
45:49.0,1.44,-50.806618,16.32416636,3.581116,4.22803,5.072001,5.490659,1.241346,1.98023,2.082059,1.247912,1.970428,2.016415
45:50.0,1.46,-50.770641,16.31260695,3.571264,4.22803,5.075285,5.487375,1.238062,1.983513,2.078775,1.23806,1.967144,2.019699
45:51.0,1.47,-50.763138,16.31019624,3.581116,4.226388,5.075285,5.480807,1.241346,1.98023,2.082059,1.251196,1.970428,2.019699
45:52.0,1.49,-50.729149,16.29927557,3.577832,4.22803,5.078569,5.47424,1.238062,1.98023,2.082059,1.244628,1.970428,2.016415
45:53.0,1.51,-50.712814,16.29402714,3.571264,4.226388,5.070359,5.489017,1.24463,1.983513,2.07549,1.244628,1.96386,2.016415
45:54.0,1.52,-50.676838,16.28246805,3.586042,4.231314,5.075285,5.492301,1.234778,1.976946,2.07549,1.241344,1.967144,2.016415
45:55.0,1.54,-50.676617,16.28239704,3.581116,4.226388,5.070359,5.484091,1.24463,1.98023,2.078775,1.247912,1.970428,2.016415
45:56.0,1.56,-50.657196,16.27615707,3.574548,4.22803,5.072001,5.48245,1.234778,1.983513,2.07549,1.251196,1.967144,2.016415
45:57.0,1.57,-50.628281,16.26686669,3.574548,4.226388,5.075285,5.487375,1.241346,1.98023,2.082059,1.247912,1.96386,2.016415
45:58.0,1.59,-50.614155,16.262328,3.581116,4.22803,5.073643,5.479986,1.241346,1.98023,2.082059,1.249554,1.967144,2.016415
45:59.0,1.61,-50.589436,16.25438579,3.582758,4.229672,5.070359,5.489017,1.241346,1.983513,2.082059,1.251196,1.967144,2.016415
46:00.0,1.62,-50.576412,16.25020118,3.574548,4.22803,5.072822,5.497227,1.238062,1.98023,2.07549,1.25448,1.96386,2.016415
46:01.0,1.64,-50.55986,16.24488302,3.574548,4.226388,5.070359,5.485733,1.241346,1.98023,2.082059,1.247912,1.970428,2.016415
46:02.0,1.66,-50.542202,16.2392095,3.581116,4.22803,5.072001,5.487375,1.24463,1.98023,2.078775,1.257764,1.970428,2.016415
46:03.0,1.67,-50.521675,16.23261418,3.577832,4.22803,5.076927,5.492301,1.238062,1.976946,2.078775,1.241344,1.970428,2.016415
46:04.0,1.69,-50.510197,16.2289263,3.572906,4.226388,5.073643,5.489017,1.242988,1.983513,2.078775,1.251196,1.970428,2.019699
46:05.0,1.71,-50.496071,16.22438761,3.577832,4.226388,5.078569,5.484091,1.24463,1.98023,2.082059,1.251196,1.970428,2.016415
46:06.0,1.72,-50.479519,16.21906945,3.57619,4.226388,5.073643,5.492301,1.241346,1.98023,2.078775,1.244628,1.970428,2.016415
46:07.0,1.74,-50.464508,16.21424642,3.579474,4.226388,5.07118,5.484091,1.238062,1.98023,2.078775,1.257764,1.967144,2.016415
46:08.0,1.76,-50.450603,16.20977874,3.581116,4.22803,5.068717,5.493943,1.241346,1.98023,2.078775,1.247912,1.970428,2.019699
46:09.0,1.77,-50.430519,16.20332575,3.5844,4.22803,5.075285,5.48245,1.238062,1.976946,2.07549,1.261048,1.967144,2.016415
46:10.0,1.79,-50.419262,16.19970888,3.577832,4.226388,5.080211,5.495585,1.238062,1.98023,2.078775,1.244628,1.973712,2.016415
46:11.0,1.81,-50.40955,16.19658842,3.577832,4.224746,5.067075,5.485733,1.238062,1.98023,2.078775,1.247912,1.970428,2.016415
