TimeStamp,,Kyowa PG 500 KUM _Load in bar_(bar),Stud1_Axial,Stud2_Axial,Stud3_Axial,Stud4_Axial,Stud2_Top,Stud2_Mid,Stud2_Bottom,Stud3_Top,Stud3_Mid,Stud3_Bottom,Load in kN
29:33.4,2.74,-8.802596,1.812724,2.333225,1.692884,1.282373,-0.364519,-0.538565,-0.315261,-0.426909,-0.778305,-0.840691,9.254274095
29:34.4,2.76,-8.877198,1.783168,2.364422,1.788119,1.288941,-0.361235,-0.545133,-0.354669,-0.361231,-0.801293,-0.853827,9.278243717
29:35.4,2.78,-10.24652,1.848847,2.402187,1.784836,1.34641,-0.364519,-0.509009,-0.331681,-0.459748,-0.725761,-0.840691,9.718206876
29:36.4,2.79,-11.324277,1.928482,2.560637,1.927688,1.344768,-0.367803,-0.502442,-0.351385,-0.412131,-0.878466,-0.885024,10.0644902
29:37.4,2.81,-11.935439,1.897285,2.548322,1.346426,1.369397,-0.364519,-0.515577,-0.338249,-0.454822,-0.748749,-0.646938,10.26085655
29:38.4,2.83,-12.091265,1.947365,2.568026,2.246234,1.379249,-0.371087,-0.528713,-0.341533,-0.426909,-0.850552,-1.001605,10.31092344
29:39.4,2.84,-12.633343,1.98513,2.591013,2.001578,1.431792,-0.374371,-0.545133,-0.328397,-0.417057,-0.830848,-0.793074,10.48509311
29:40.4,2.86,-14.328663,2.022895,2.614001,2.131294,1.394027,-0.325112,-0.56812,-0.334965,-0.420341,-0.820997,-0.863679,11.02979942
29:41.4,2.88,-14.567477,2.057376,2.63042,1.976948,1.499112,-0.377655,-0.591108,-0.311977,-0.403922,-0.827564,-0.863679,11.10653036
29:42.4,2.89,-15.886255,2.092678,2.646019,1.941645,1.518816,-0.374371,-0.635441,-0.311977,-0.410489,-0.827564,-0.847259,11.53025373
29:43.4,2.91,-17.232843,2.129622,2.720728,2.021281,1.548371,-0.371087,-0.627231,-0.282421,-0.420341,-0.834132,-0.801284,11.96291246
29:44.4,2.93,-18.099596,2.196943,2.824172,1.985158,1.574643,-0.390791,-0.577972,-0.302125,-0.443329,-0.866972,-0.853827,12.24140019
