Displacement in m,Displacement in mm,Load in N,Load in kN
0.034725,34.725443,26261.363281,26.261363
0.034840,34.839801,26262.806641,26.262807
0.034840,34.839801,26261.363281,26.261363
0.034955,34.954634,26259.925781,26.259926
0.034955,34.954634,26258.490234,26.258490
0.035070,35.069946,26259.925781,26.259926
0.035070,35.069946,26258.490234,26.258490
0.035186,35.185728,26257.060547,26.257061
0.035186,35.185728,26255.636719,26.255637
0.035302,35.301987,26257.060547,26.257061
0.035302,35.301987,26255.636719,26.255637
0.035419,35.418715,26254.214844,26.254215
0.035419,35.418715,26252.798828,26.252799
0.035536,35.535917,26254.214844,26.254215
0.035536,35.535917,26252.798828,26.252799
0.035654,35.653595,26251.386719,26.251387
0.035654,35.653595,26249.978516,26.249979
0.035772,35.771739,26251.386719,26.251387
0.035772,35.771739,26249.978516,26.249979
0.035890,35.890345,26248.574219,26.248574
0.035890,35.890345,26247.175781,26.247176
0.036009,36.009412,26248.574219,26.248574
0.036009,36.009412,26247.175781,26.247176
0.036129,36.128949,26245.779297,26.245779
0.036129,36.128949,26244.388672,26.244389
0.036249,36.248945,26245.779297,26.245779
0.036249,36.248945,26244.388672,26.244389
0.036369,36.369402,26243.001953,26.243002
0.036490,36.490329,26241.621094,26.241621
0.036490,36.490329,26240.242188,26.240242
0.036612,36.611725,26241.621094,26.241621
0.036612,36.611725,26240.242188,26.240242
0.036734,36.733590,26238.869141,26.238869
0.036734,36.733590,26237.500000,26.237500
0.036856,36.855917,26238.869141,26.238869
0.036856,36.855917,26237.500000,26.237500
0.036979,36.978707,26236.134766,26.236135
0.036979,36.978707,26234.773438,26.234773
0.037102,37.101958,26236.134766,26.236135
0.037102,37.101958,26234.773438,26.234773
0.037226,37.225667,26233.416016,26.233416
0.037226,37.225667,26232.064453,26.232064
0.037350,37.349828,26233.416016,26.233416
0.037350,37.349828,26232.064453,26.232064
0.037474,37.474442,26230.714844,26.230715
0.037474,37.474442,26229.371094,26.229371
0.037600,37.599511,26230.714844,26.230715
0.037600,37.599511,26229.371094,26.229371
0.037725,37.725028,26228.031250,26.228031
0.037725,37.725028,26226.695312,26.226695
0.037851,37.851002,26228.031250,26.228031
0.037851,37.851002,26226.695312,26.226695
0.037977,37.977435,26225.363281,26.225363
0.037977,37.977435,26224.035156,26.224035
0.038104,38.104329,26225.363281,26.225363
0.038104,38.104329,26224.035156,26.224035
0.038232,38.231693,26222.710938,26.222711
0.038232,38.231693,26221.392578,26.221393
0.038360,38.359534,26222.710938,26.222711
0.038360,38.359534,26221.392578,26.221393
0.038488,38.487855,26220.076172,26.220076
0.038488,38.487855,26218.763672,26.218764
0.038617,38.616668,26220.076172,26.220076
0.038617,38.616668,26218.763672,26.218764
0.038746,38.745992,26217.457031,26.217457
0.038746,38.745992,26216.152344,26.216152
0.038876,38.875833,26217.457031,26.217457
0.038876,38.875833,26216.152344,26.216152
0.039006,39.006200,26214.853516,26.214854
0.039006,39.006200,26213.558594,26.213559
0.039137,39.137095,26214.853516,26.214854
0.039137,39.137095,26213.558594,26.213559
0.039269,39.268527,26212.265625,26.212266
0.039269,39.268527,26210.978516,26.210979
0.039400,39.400499,26212.265625,26.212266
0.039400,39.400499,26210.978516,26.210979
0.039533,39.533015,26209.695312,26.209695
0.039533,39.533015,26208.416016,26.208416
0.039666,39.666090,26209.695312,26.209695
0.039666,39.666090,26208.416016,26.208416
0.039800,39.799727,26207.138672,26.207139
0.039800,39.799727,26205.867188,26.205867
