TimeStamp,Kyowa PG 500 KUM _Load in bar_(bar),Load in kN,Stud1_Axial-O,Stud1_Axial,Stud2_Axial-O,Stud2_Axial,Stud1_Top-O,Stud1_Top,Stud1_Mid-O,Stud1_Mid,Stud1_Bottom-O,Stud1_Bottom,Stud2_Top-O,Stud2_Top,Stud2_Mid-O,Stud2_Mid,Stud2_Bottom-O,Stud2_Bottom
33:17.7,-38.669445,12.42449268,1.495835,1.497477,1.568889,1.567247,-0.187185,0.190469,-0.236443,0.239727,-0.29227,0.302122,-0.062394,0.062394,-0.026271,0.022987,-0.239727,0.229875
33:18.7,-38.379425,12.33130925,1.495835,1.497477,1.576278,1.574636,-0.193752,0.197036,-0.239727,0.243011,-0.288986,0.298838,-0.062394,0.062394,-0.029555,0.026271,-0.236443,0.226591
33:19.7,-38.347641,12.32109705,1.495835,1.497477,1.602549,1.600907,-0.190469,0.193753,-0.233159,0.236443,-0.285702,0.295554,-0.078814,0.078814,-0.042691,0.039407,-0.220023,0.210171
33:20.7,-39.547676,12.7066683,1.536885,1.538527,1.623894,1.622252,-0.197036,0.20032,-0.236443,0.239727,-0.295553,0.305405,-0.085382,0.085382,-0.059111,0.055827,-0.213456,0.203604
33:21.7,-39.831738,12.79793742,1.56644,1.568082,1.64524,1.643598,-0.197036,0.20032,-0.233159,0.236443,-0.288986,0.298838,-0.098517,0.098517,-0.065679,0.062395,-0.210172,0.20032
33:22.7,-40.63382,13.05564637,1.569724,1.571366,1.687931,1.686289,-0.183901,0.187185,-0.236443,0.239727,-0.295553,0.305405,-0.111653,0.111653,-0.073888,0.070604,-0.206888,0.197036
33:23.7,-40.574005,13.03642781,1.602564,1.604206,1.715844,1.714202,-0.20853,0.211814,-0.233159,0.236443,-0.29227,0.302122,-0.134641,0.134641,-0.095234,0.09195,-0.187184,0.177332
33:24.7,-43.153511,13.86522308,1.723248,1.72489,1.825034,1.823392,-0.172407,0.175691,-0.233159,0.236443,-0.29227,0.302122,-0.190467,0.190467,-0.157629,0.154345,-0.160913,0.151061
33:25.7,-42.899689,13.78367008,1.722428,1.72407,1.837349,1.835707,-0.197036,0.20032,-0.229875,0.233159,-0.302121,0.311973,-0.187183,0.187183,-0.151061,0.147777,-0.160913,0.151061
33:26.7,-43.056839,13.83416237,1.725711,1.727353,1.847201,1.845559,-0.197036,0.20032,-0.226591,0.229875,-0.29227,0.302122,-0.190467,0.190467,-0.154345,0.151061,-0.160913,0.151061
33:27.7,-42.999893,13.81586562,1.793032,1.794674,1.87183,1.870188,-0.193752,0.197036,-0.229875,0.233159,-0.285702,0.295554,-0.190467,0.190467,-0.154345,0.151061,-0.147777,0.137925
33:28.7,-44.024677,14.14512872,1.822588,1.82423,1.896459,1.894817,-0.197036,0.20032,-0.233159,0.236443,-0.298837,0.308689,-0.190467,0.190467,-0.160912,0.157628,-0.141209,0.131357
33:29.7,-44.804249,14.3956052,1.82423,1.825872,1.93915,1.937508,-0.193752,0.197036,-0.229875,0.233159,-0.295553,0.305405,-0.203603,0.203603,-0.170764,0.16748,-0.131357,0.121505
33:30.7,-44.759884,14.38135073,1.825872,1.827514,1.942434,1.940792,-0.188827,0.192111,-0.229875,0.233159,-0.295553,0.305405,-0.203603,0.203603,-0.177332,0.174048,-0.131357,0.121505
33:31.7,-44.664314,14.35064409,1.829156,1.830798,1.950644,1.949002,-0.197036,0.20032,-0.233159,0.236443,-0.29227,0.302122,-0.206887,0.206887,-0.177332,0.174048,-0.131357,0.121505
33:32.7,-44.914825,14.43113327,1.843934,1.845576,1.962138,1.960496,-0.183901,0.187185,-0.233159,0.236443,-0.288986,0.298838,-0.206887,0.206887,-0.180616,0.177332,-0.128073,0.118221
33:33.7,-44.914825,14.43113327,1.912897,1.914539,2.011396,2.009754,-0.197036,0.20032,-0.233159,0.236443,-0.298837,0.308689,-0.210171,0.210171,-0.1839,0.180616,-0.131357,0.121505
