TimeStamp,Kyowa PG 500 KUM _Load in bar_(bar),Load in kN,Stud2_Axial-O,Stud2_Axial,Stud3_Axial-O,Stud3_Axial,Stud4_Axial-O,Stud4_Axial,Stud5_Axial-O,Stud5_Axial,Stud3_Top-O,Stud3_Top,Stud4_Top-O,Stud4_Top,Stud3_Mid-O,Stud3_Mid,Stud4_Mid-O,Stud4_Mid,Stud3_Bottom-O,Stud3_Bottom,Stud4_Bottom-O,Stud4_Bottom,Stud1_Axial-O,Stud1_Axial,Stud6_Axial-O,Stud6_Axial,Stud1_Mid-O,Stud1_Mid,Stud2_Mid-O,Stud2_Mid,Stud5_Mid-O,Stud5_Mid,Stud6_Mid-O,Stud6_Mid
23:11.1,-11.163595,10.01286307,6.663124,6.590878,5.989892,5.968547,5.731259,5.970163,6.356029,6.339609,1.618992,1.573017,1.523771,1.714242,2.009787,2.052479,-2.11321,-1.418658,3.359538,3.313562,-4.027724,-4.265808,1.871029,1.821324,1.14675,1.132549,-0.010402,0.017337,0.027738,-0.013869,0.152533,0.138666,0.707136,0.679405
23:12.1,-11.062508,9.98038382,6.65984,6.587594,5.980041,5.958696,5.746037,5.984941,6.351103,6.334683,1.618992,1.573017,1.520487,1.710958,2.003219,2.045911,-2.100075,-1.405523,3.356254,3.310278,-4.008021,-4.246105,1.796473,1.746768,1.164502,1.150301,-0.041609,-0.01387,0.006935,-0.034672,0.1664,0.152533,0.707136,0.679405
23:13.1,-12.290792,10.37503147,6.649988,6.577742,5.971831,5.950486,5.72387,5.962774,6.344535,6.328115,1.615708,1.569733,1.520487,1.710958,1.999935,2.042627,-2.096791,-1.402239,3.346402,3.300426,-4.014589,-4.252673,1.824875,1.77517,1.176928,1.162727,-0.048544,-0.020805,0.041607,0,0.1872,0.173333,0.741799,0.714068
23:14.1,-12.662919,10.49459587,6.64342,6.571174,5.966905,5.94556,5.727975,5.966879,6.336325,6.319905,1.602573,1.556598,1.523771,1.714242,1.993367,2.036059,-2.040964,-1.346412,3.346402,3.300426,-4.021157,-4.259241,1.956236,1.906531,1.203555,1.189354,-0.038142,-0.010403,-0.017336,-0.058943,0.1872,0.173333,0.745265,0.717534
23:15.1,-12.799984,10.53863486,6.645062,6.572816,5.965263,5.943918,5.713197,5.952101,6.336325,6.319905,1.592721,1.546746,1.520487,1.710958,1.990083,2.032775,-2.065593,-1.371041,3.338192,3.292216,-3.993243,-4.231327,1.913632,1.863927,1.185804,1.171603,-0.076283,-0.048544,0.020804,-0.020803,0.194133,0.180266,0.755664,0.727933
23:16.1,-12.936828,10.58260284,6.64342,6.571174,5.963621,5.942276,5.739469,5.978373,6.329757,6.313337,1.586153,1.540178,1.510635,1.701106,1.990083,2.032775,-2.067235,-1.372683,3.33655,3.290574,-4.011305,-4.249389,2.052094,2.002389,1.260359,1.246158,-0.069348,-0.041609,0.034673,-0.006934,0.256533,0.242666,0.845789,0.818058
23:17.1,-12.994434,10.60111164,6.645062,6.572816,5.960337,5.938992,5.721407,5.960311,6.328115,6.311695,1.579585,1.53361,1.510635,1.701106,1.990083,2.032775,-2.073803,-1.379251,3.333266,3.28729,-4.001453,-4.239537,2.00949,1.959785,1.304738,1.290537,-0.09362,-0.065881,-0.006935,-0.048542,0.277332,0.263465,0.876986,0.849255
23:18.1,-13.134148,10.64600175,6.645062,6.572816,5.957053,5.935708,5.704167,5.943071,6.324831,6.308411,1.576301,1.530326,1.517203,1.707674,1.990083,2.032775,-2.085297,-1.390745,3.33655,3.290574,-3.991601,-4.229685,2.12665,2.076945,1.306513,1.292312,-0.072816,-0.045077,0.034673,-0.006934,0.263466,0.249599,0.90125,0.873519
23:19.1,-13.232367,10.67755952,6.641778,6.569532,5.955411,5.934066,5.710734,5.949638,6.321547,6.305127,1.573017,1.527042,1.513919,1.70439,1.986799,2.029491,-2.068877,-1.374325,3.33655,3.290574,-3.962046,-4.20013,2.037893,1.988188,1.310063,1.295862,-0.09362,-0.065881,0.010402,-0.031205,0.277332,0.263465,0.842322,0.814591
23:20.1,-13.275847,10.69152964,6.635211,6.562965,5.953769,5.932424,5.713197,5.952101,6.323189,6.306769,1.569733,1.523758,1.510635,1.701106,1.983515,2.026207,-2.093507,-1.398955,3.333266,3.28729,-3.998169,-4.236253,2.044993,1.995288,1.345566,1.331365,-0.076283,-0.048544,0.020804,-0.020803,0.291199,0.277332,0.894317,0.866586
