TimeStamp,Kyowa PG 500 KUM _Load in bar_(bar),Load in kN,Stud2_Axial-O,Stud2_Axial,Stud3_Axial-O,Stud3_Axial,Stud4_Axial-O,Stud4_Axial,Stud5_Axial-O,Stud5_Axial,Stud3_Top-O,Stud3_Top,Stud4_Top-O,Stud4_Top,Stud3_Mid-O,Stud3_Mid,Stud4_Mid-O,Stud4_Mid,Stud3_Bottom-O,Stud3_Bottom,Stud4_Bottom-O,Stud4_Bottom,Stud1_Axial-O,Stud1_Axial,Stud6_Axial-O,Stud6_Axial,Stud1_Mid-O,Stud1_Mid,Stud2_Mid-O,Stud2_Mid,Stud5_Mid-O,Stud5_Mid,Stud6_Mid-O,Stud6_Mid
,,10.26,,2.260599276,,1.562125368,,1.47909043,,1.706826456,,0.106752188,,0.14708206,,0.064051457,,0.445984284,,0.559863494,,0.531382856,,0.052577139,,0.007694092,,,,,,,,
,,10.45,,2.302462226,,1.591053615,,1.506480994,,1.738434353,,0.10872908,,0.149805802,,0.065237595,,0.454243253,,0.570231337,,0.541223279,,0.05355079,,0.007836575,,,,,,,,
,,10.64,,2.344325175,,1.619981863,,1.533871557,,1.770042251,,0.110705972,,0.152529544,,0.066423733,,0.462502221,,0.580599179,,0.551063702,,0.054524441,,0.007979059,,,,,,,,
,,10.83,,2.386188125,,1.64891011,,1.561262121,,1.801650148,,0.112682865,,0.155253286,,0.067609871,,0.470761189,,0.590967022,,0.560904126,,0.055498091,,0.008121542,,,,,,,,
,,11.02,,2.428051075,,1.677838358,,1.588652685,,1.833258045,,0.114659757,,0.157977027,,0.068796009,,0.479020157,,0.601334864,,0.570744549,,0.056471742,,0.008264025,,,,,,,,
,,11.21,,2.469914024,,1.706766605,,1.616043248,,1.864865943,,0.116636649,,0.160700769,,0.069982147,,0.487279125,,0.611702707,,0.580584972,,0.057445393,,0.008406508,,,,,,,,
,,11.4,,2.511776974,,1.735694853,,1.643433812,,1.89647384,,0.118613542,,0.163424511,,0.071168286,,0.495538094,,0.622070549,,0.590425395,,0.058419043,,0.008548991,,,,,,,,
,,11.59,,2.553639923,,1.7646231,,1.670824375,,1.928081737,,0.120590434,,0.166148253,,0.072354424,,0.503797062,,0.632438391,,0.600265819,,0.059392694,,0.008691474,,,,,,,,
,,11.78,,2.595502873,,1.793551348,,1.698214939,,1.959689635,,0.122567326,,0.168871995,,0.073540562,,0.51205603,,0.642806234,,0.610106242,,0.060366345,,0.008833958,,,,,,,,
,,11.97,,2.637365822,,1.822479596,,1.725605502,,1.991297532,,0.124544219,,0.171595737,,0.0747267,,0.520314998,,0.653174076,,0.619946665,,0.061339996,,0.008976441,,,,,,,,
,,12.16,,2.679228772,,1.851407843,,1.752996066,,2.022905429,,0.126521111,,0.174319478,,0.075912838,,0.528573967,,0.663541919,,0.629787089,,0.062313646,,0.009118924,,,,,,,,
,,12.35,,2.721091721,,1.880336091,,1.780386629,,2.054513327,,0.128498004,,0.17704322,,0.077098976,,0.536832935,,0.673909761,,0.639627512,,0.063287297,,0.009261407,,,,,,,,
,,12.54,,2.762954671,,1.909264338,,1.807777193,,2.086121224,,0.130474896,,0.179766962,,0.078285114,,0.545091903,,0.684277604,,0.649467935,,0.064260948,,0.00940389,,,,,,,,
,,12.73,,2.804817621,,1.938192586,,1.835167756,,2.117729121,,0.132451788,,0.182490704,,0.079471252,,0.553350871,,0.694645446,,0.659308358,,0.065234599,,0.009546374,,,,,,,,
,,12.92,,2.84668057,,1.967120833,,1.86255832,,2.149337019,,0.134428681,,0.185214446,,0.08065739,,0.56160984,,0.705013289,,0.669148782,,0.066208249,,0.009688857,,,,,,,,
,,13.11,,2.88854352,,1.996049081,,1.889948883,,2.180944916,,0.136405573,,0.187938188,,0.081843528,,0.569868808,,0.715381131,,0.678989205,,0.0671819,,0.00983134,,,,,,,,
,,13.3,,2.930406469,,2.024977328,,1.917339447,,2.212552813,,0.138382465,,0.19066193,,0.083029667,,0.578127776,,0.725748974,,0.688829628,,0.068155551,,0.009973823,,,,,,,,
,,13.49,,2.972269419,,2.053905576,,1.94473001,,2.244160711,,0.140359358,,0.193385671,,0.084215805,,0.586386744,,0.736116816,,0.698670051,,0.069129201,,0.010116306,,,,,,,,
,,13.68,,3.014132368,,2.082833824,,1.972120574,,2.275768608,,0.14233625,,0.196109413,,0.085401943,,0.594645712,,0.746484659,,0.708510475,,0.070102852,,0.01025879,,,,,,,,
,,13.87,,3.055995318,,2.111762071,,1.999511137,,2.307376505,,0.144313142,,0.198833155,,0.086588081,,0.602904681,,0.756852501,,0.718350898,,0.071076503,,0.010401273,,,,,,,,
0.01446412,-24.204821,14.20300899,3.001517,3.129367626,2.183809,2.162464,1.808614,2.047518,2.379195,2.362775,-0.101803,0.147778,0.013136,0.203607,0.045975,0.088667,-0.077172,0.61738,0.821,0.775024,-0.497514,0.735598,0.122488,0.072783,0.00355,0.010651,-0.006935,0.020804,0.020804,0.020803,-0.017333,0.0312,0.024265,0.003466
0.014475694,-25.769697,14.70580365,3.085258,3.240149034,2.290537,2.269192,1.912057,2.150961,2.566378,2.549958,-0.098519,0.144494,0.006568,0.197039,0.042692,0.085384,-0.067321,0.627231,0.857124,0.811148,-0.533637,0.771721,0.402967,0.353262,-0.00355,0.017751,-0.027739,0,0.041607,0,0,0.013867,0.020798,0.006933
0.014487269,-26.224152,14.85182004,3.172282,3.272321017,2.456375,2.43503,2.00647,2.245374,2.725648,2.709228,-0.088667,0.134642,0,0.190471,0.039408,0.0821,-0.047617,0.646935,0.906384,0.860408,-0.559908,0.797992,0.237875,0.18817,0.00355,0.010651,-0.020804,0.006935,0.034673,0.006934,-0.0208,0.034667,0.034664,0.006933
