TimeStamp,Kyowa PG 500 KUM _Load in bar_(bar),,Load in kN,Stud1_Axial-O,Stud1_Axial,Stud2_Axial-O,Stud2_Axial,Stud3_Axial-O,Stud3_Axial,Stud4_Axial-O,Stud4_Axial,Stud2_Top-O,Stud2_Top,Stud2_Mid-O,Stud2_Mid,Stud2_Bottom-O,Stud2_Bottom,Stud3_Top-O,Stud3_Top,Stud3_Mid-O,Stud3_Mid,Stud3_Bottom-O,Stud3_Bottom
43172.52909,-61.238541,81.238541,26.10194322,4.704247,4.742012,4.584371,4.613926,4.359403,4.354477,4.929188,4.921799,-0.167479,0.157627,0.568133,0.563207,-0.331685,0.318549,-0.410488,0.40392,0.926092,0.942512,0.190471,0.185545
43172.5291,-60.862,80.862,25.9809606,4.730519,4.768284,4.623778,4.653333,4.388958,4.384032,4.952175,4.944786,-0.157628,0.147776,0.574701,0.569775,-0.334969,0.321833,-0.403921,0.397353,0.926092,0.942512,0.190471,0.185545
43172.52911,-61.803574,81.803574,26.28348833,4.791272,4.829037,4.696025,4.72558,4.438218,4.433292,4.993225,4.985836,-0.190467,0.180615,0.614109,0.609183,-0.334969,0.321833,-0.407204,0.400636,0.94908,0.9655,0.193755,0.188829
43172.52912,-62.8661,82.8661,26.62487793,4.868445,4.90621,4.747747,4.777302,4.471057,4.466131,5.02278,5.015391,-0.206886,0.197034,0.666654,0.661728,-0.334969,0.321833,-0.410488,0.40392,0.970426,0.986846,0.193755,0.188829
43172.52914,-64.451942,84.451942,27.13440896,5.162359,5.200124,4.832308,4.861863,4.569575,4.564649,5.095027,5.087638,-0.252861,0.243009,0.715914,0.710988,-0.331685,0.318549,-0.417056,0.410488,0.975352,0.991772,0.190471,0.185545
43172.52915,-64.096153,84.096153,27.02009396,5.292076,5.329841,4.927543,4.957098,4.650031,4.645105,5.211607,5.204218,-0.279132,0.26928,0.72905,0.724124,-0.334969,0.321833,-0.413772,0.407204,0.972068,0.988488,0.187187,0.182261
43172.52916,-65.985481,85.985481,27.62713505,5.361039,5.398804,4.968592,4.998147,4.67466,4.669734,5.237879,5.23049,-0.298836,0.288984,0.74547,0.740544,-0.331685,0.318549,-0.417056,0.410488,0.975352,0.991772,0.183903,0.178977
43172.52917,-66.783371,86.783371,27.8834971,5.448063,5.485828,5.01621,5.045765,4.730487,4.725561,5.333113,5.325724,-0.334959,0.325107,0.771742,0.766816,-0.334969,0.321833,-0.413772,0.407204,0.975352,0.991772,0.187187,0.182261
43172.52918,-66.645424,86.645424,27.83917473,5.535089,5.572854,5.05808,5.087635,4.756759,4.751833,5.364311,5.356922,-0.328391,0.318539,0.788162,0.783236,-0.325117,0.311981,-0.413772,0.407204,0.975352,0.991772,0.187187,0.182261
43172.52919,-68.499435,88.499435,28.43486847,5.681224,5.718989,5.144283,5.173838,4.815869,4.810943,5.416854,5.409465,-0.364514,0.354662,0.824286,0.81936,-0.318549,0.305413,-0.410488,0.40392,0.975352,0.991772,0.183903,0.178977
43172.52921,-68.271217,88.271217,28.36154202,5.822435,5.8602,5.24116,5.270715,4.896326,4.8914,5.490743,5.483354,-0.380933,0.371081,0.84399,0.839064,-0.315265,0.302129,-0.42034,0.413772,0.975352,0.991772,0.187187,0.182261
43172.52922,-69.871185,89.871185,28.87561174,5.856916,5.894681,5.254295,5.28385,4.901252,4.896326,5.490743,5.483354,-0.394069,0.384217,0.850558,0.845632,-0.305413,0.292277,-0.417056,0.410488,0.975352,0.991772,0.183903,0.178977
43172.52923,-70.410393,90.410393,29.04885927,5.925879,5.963644,5.301913,5.331468,4.942301,4.937375,5.526866,5.519477,-0.400637,0.390785,0.86041,0.855484,-0.302129,0.288993,-0.410488,0.40392,0.975352,0.991772,0.183903,0.178977
43172.52924,-70.91716,90.91716,29.21168351,5.982528,6.020293,5.333931,5.363486,4.962004,4.957078,5.543286,5.535897,-0.400637,0.390785,0.870262,0.865336,-0.298845,0.285709,-0.41213,0.405562,0.975352,0.991772,0.177335,0.172409
43172.52925,-72.014999,92.014999,29.56441918,6.045744,6.083509,5.389759,5.419314,4.998127,4.993201,5.5712,5.563811,-0.417056,0.407204,0.880114,0.875188,-0.302129,0.288993,-0.410488,0.40392,0.975352,0.991772,0.177335,0.172409
43172.52926,-72.121384,92.121384,29.59860068,6.090078,6.127843,5.406999,5.436554,5.014547,5.009621,5.582694,5.575305,-0.426908,0.417056,0.886682,0.881756,-0.302129,0.288993,-0.410488,0.40392,0.978636,0.995056,0.180619,0.175693
43172.52927,-73.371742,93.371742,30.0003407,6.218152,6.255917,5.502234,5.531789,5.086794,5.081868,5.648373,5.640984,-0.43676,0.426908,0.89325,0.888324,-0.302129,0.288993,-0.410488,0.40392,0.972068,0.988488,0.180619,0.175693
43172.52929,-72.925453,92.925453,29.85694805,6.287116,6.324881,5.553135,5.58269,5.114707,5.109781,5.677928,5.670539,-0.417056,0.407204,0.896534,0.891608,-0.298845,0.285709,-0.410488,0.40392,0.975352,0.991772,0.177335,0.172409
43172.5293,-74.072739,94.072739,30.22557104,6.344585,6.38235,5.589258,5.618813,5.134411,5.129485,5.697632,5.690243,-0.440044,0.430192,0.912954,0.908028,-0.298845,0.285709,-0.407204,0.400636,0.972068,0.988488,0.174051,0.169125
43172.52931,-73.889763,93.889763,30.16678085,6.479227,6.516992,5.694345,5.7239,5.213225,5.208299,5.778089,5.7707,-0.433476,0.423624,0.972066,0.96714,-0.298845,0.285709,-0.413772,0.407204,0.978636,0.995056,0.174051,0.169125
43172.52932,-76.028938,96.028938,30.85409778,6.518635,6.5564,5.739499,5.769054,5.239497,5.234571,5.801076,5.793687,-0.443328,0.433476,0.978634,0.973708,-0.288993,0.275857,-0.410488,0.40392,0.975352,0.991772,0.174051,0.169125
43172.52933,-77.76178,97.76178,31.41085991,6.562968,6.600733,5.809283,5.838838,5.280546,5.27562,5.830632,5.823243,-0.459747,0.449895,0.981918,0.976992,-0.282425,0.269289,-0.410488,0.40392,0.975352,0.991772,0.177335,0.172409
