Extension,Load,Tensile strain,Tensile stress,Strain 1,Tensile extension,Offset strain,Tensile stress offset
0.26775,"2,342.38",0.0012,268.25223,0.0012,0.06011,0.0032,268.25223
0.26931,"2,353.90",0.00121,269.57141,0.00121,0.06047,0.00321,269.57141
0.27081,"2,363.61",0.00122,270.68329,0.00122,0.06075,0.00322,270.68329
0.273,"2,380.53",0.00122,272.62189,0.00122,0.06115,0.00322,272.62189
0.27469,"2,393.60",0.00123,274.11761,0.00123,0.06151,0.00323,274.11761
0.27575,"2,400.73",0.00123,274.93512,0.00123,0.06173,0.00323,274.93512
0.27769,"2,411.75",0.00124,276.19666,0.00124,0.06201,0.00324,276.19666
0.2795,"2,427.82",0.00125,278.03671,0.00125,0.06249,0.00325,278.03671
0.281,"2,438.54",0.00125,279.26489,0.00125,0.0627,0.00325,279.26489
0.28244,"2,447.63",0.00126,280.30563,0.00126,0.063,0.00326,280.30563
0.28456,"2,463.43",0.00127,282.11465,0.00127,0.06339,0.00327,282.11465
0.28631,"2,477.04",0.00128,283.67334,0.00128,0.06377,0.00328,283.67334
0.2875,"2,485.19",0.00128,284.60663,0.00128,0.064,0.00328,284.60663
0.28925,"2,494.83",0.00128,285.7113,0.00128,0.06423,0.00328,285.7113
0.29112,"2,511.87",0.00129,287.66275,0.00129,0.06467,0.00329,287.66275
0.29269,"2,522.29",0.0013,288.85641,0.0013,0.06498,0.0033,288.85641
0.29406,"2,530.72",0.0013,289.82132,0.0013,0.06518,0.0033,289.82132
0.29619,"2,545.87",0.00131,291.55664,0.00131,0.06559,0.00331,291.55664
0.29806,"2,560.15",0.00132,293.19131,0.00132,0.06599,0.00332,293.19131
0.29925,"2,569.95",0.00132,294.31433,0.00132,0.06623,0.00332,294.31433
0.30081,"2,577.87",0.00133,295.22144,0.00133,0.06647,0.00333,295.22144
0.30281,"2,595.10",0.00134,297.19452,0.00134,0.06691,0.00334,297.19452
0.30444,"2,605.75",0.00134,298.41357,0.00134,0.06715,0.00334,298.41357
0.30581,"2,615.19",0.00135,299.49454,0.00135,0.06741,0.00335,299.49454
0.30781,"2,627.94",0.00136,300.95465,0.00136,0.0678,0.00336,300.95465
0.30962,"2,642.51",0.00136,302.62311,0.00136,0.06823,0.00336,302.62311
0.31094,"2,652.38",0.00137,303.7543,0.00137,0.06846,0.00337,303.7543
0.31237,"2,659.50",0.00137,304.56943,0.00137,0.06865,0.00337,304.56943
0.31456,"2,677.65",0.00138,306.64786,0.00138,0.06916,0.00338,306.64786
0.31612,"2,687.87",0.00139,307.81863,0.00139,0.06939,0.00339,307.81863
0.3175,"2,696.95",0.00139,308.85791,0.00139,0.06971,0.00339,308.85791
0.31937,"2,709.15",0.0014,310.25589,0.0014,0.06997,0.0034,310.25589
0.32125,"2,723.95",0.00141,311.94992,0.00141,0.0704,0.00341,311.94992
0.32275,"2,734.97",0.00141,313.21262,0.00141,0.07069,0.00341,313.21262
0.324,"2,741.10",0.00142,313.91385,0.00142,0.07086,0.00342,313.91385
0.32631,"2,758.21",0.00143,315.87384,0.00143,0.07131,0.00343,315.87384
0.32781,"2,768.70",0.00143,317.07507,0.00143,0.0716,0.00343,317.07507
0.32912,"2,777.34",0.00144,318.06436,0.00144,0.0718,0.00344,318.06436
0.33087,"2,787.13",0.00144,319.18558,0.00144,0.07211,0.00344,319.18558
0.333,"2,803.22",0.00145,321.02829,0.00145,0.07254,0.00345,321.02829
0.3345,"2,814.22",0.00146,322.28787,0.00146,0.07282,0.00346,322.28787
0.33569,"2,819.35",0.00146,322.87534,0.00146,0.07298,0.00346,322.87534
