TimeStamp,Kyowa PG 500 KUM _Load in bar_(bar),LVDT12 - 50mm_Stud1_Axial_(mm),LVDT12 - 50mm_Stud2_Axial_(mm),LVDT12 - 50mm_Stud3_Axial_(mm),LVDT12 - 50mm_Stud4_Axial_(mm),LVDT Type 100mm_Stud2_Top_(mm),LVDT Type 100mm_Stud2_Mid_(mm),LVDT Type 100mm_Stud2_Bottom_(mm),LVDT Type 100mm_Stud3_Top_(mm),LVDT Type 100mm_Stud3_Mid_(mm),LVDT Type 100mm_Stud3_Bottom_(mm)
12:41:01.068 PM 13/03/2018,-7.650458,1.843930,1.886616,2.021250,2.207622,0.233158,-0.338253,-0.275857,0.137924,-0.206893,-0.013136
12:41:02.070 PM 13/03/2018,-7.576077,1.891547,1.922739,2.039311,2.229788,0.239725,-0.338253,-0.275857,0.134640,-0.210177,-0.016420
12:41:03.071 PM 13/03/2018,-9.306049,1.999917,2.031109,2.144397,2.400553,0.224948,-0.338253,-0.275857,0.141208,-0.210177,-0.026272
12:41:04.082 PM 13/03/2018,-9.220411,2.001559,2.022899,2.142755,2.400553,0.243009,-0.341537,-0.275857,0.141208,-0.213461,-0.026272
12:41:05.083 PM 13/03/2018,-9.556121,2.083657,2.127164,2.219106,2.512207,0.236442,-0.338253,-0.275857,0.144492,-0.215103,-0.045976
12:41:06.085 PM 13/03/2018,-11.060080,2.139484,2.165750,2.247840,2.551614,0.239725,-0.338253,-0.275857,0.137924,-0.220029,-0.072248
12:41:07.087 PM 13/03/2018,-11.117907,2.142768,2.178886,2.249482,2.556540,0.220022,-0.341537,-0.275857,0.128072,-0.220029,-0.072248
12:41:08.088 PM 13/03/2018,-12.844127,2.252780,2.283972,2.325012,2.655879,0.223306,-0.334969,-0.275857,0.144492,-0.220029,-0.075532
12:41:09.097 PM 13/03/2018,-12.782768,2.279052,2.321737,2.341432,2.682971,0.229874,-0.334969,-0.275857,0.147776,-0.223313,-0.072248
12:41:10.099 PM 13/03/2018,-14.400617,2.325027,2.365249,2.366061,2.715811,0.229874,-0.334969,-0.275857,0.141208,-0.220029,-0.072248
12:41:11.101 PM 13/03/2018,-15.201816,2.377570,2.428465,2.405468,2.743724,0.223306,-0.334969,-0.275857,0.141208,-0.221671,-0.075532
