Displacement in m,Displacement in mm,Load in N,Load in kN
0.017943,17.943079,30572.207031,30.572207
0.018004,18.004293,30540.603516,30.540604
0.018066,18.065922,30509.119141,30.509119
0.018128,18.127972,30477.751953,30.477752
0.018190,18.190444,30446.503906,30.446504
0.018253,18.253330,30415.373047,30.415373
0.018317,18.316632,30384.361328,30.384361
0.018380,18.380348,30353.466797,30.353467
0.018444,18.444479,30322.693359,30.322693
0.018509,18.509021,30292.041016,30.292041
0.018574,18.573979,30261.505859,30.261506
0.018639,18.639350,30231.091797,30.231092
0.018639,18.639350,30230.972656,30.230973
0.018639,18.639350,30231.091797,30.231092
0.018639,18.639350,30230.972656,30.230973
