Time in Seconds,Time in Minutes,Displacement in m-Stud1,Displacement in mm-Stud1,Displacement in m-Stud2,Displacement in mm-Stud2
4970.966797,82.849447,0.005197,-5.196835,0.005372,-5.371606
5030.966797,83.849447,0.00512,-5.120366,0.005236,-5.236377
5030.966797,83.849447,0.00512,-5.120366,0.005236,-5.236377
5090.966797,84.849447,0.005417,-5.41679,0.005563,-5.56251
5090.966797,84.849447,0.005417,-5.41679,0.005563,-5.56251
5150.966797,85.849447,0.005631,-5.63105,0.005769,-5.768863
5150.966797,85.849447,0.005631,-5.63105,0.005769,-5.768863
5210.966797,86.849447,0.005449,-5.44857,0.005489,-5.489334
5210.966797,86.849447,0.005449,-5.44857,0.005489,-5.489334
5270.966797,87.849447,0.00544,-5.439674,0.005413,-5.413468
5270.966797,87.849447,0.00544,-5.439674,0.005413,-5.413468
5330.966797,88.849447,0.005635,-5.635399,0.005665,-5.665439
5330.966797,88.849447,0.005635,-5.635399,0.005665,-5.665439
5334.716797,88.911947,0.00564,-5.639996,0.005671,-5.671263
5334.716797,88.911947,0.00564,-5.639996,0.005671,-5.671263
5338.466797,88.974447,0.005642,-5.642297,0.005674,-5.673863
5338.466797,88.974447,0.005642,-5.642297,0.005674,-5.673863
5344.091797,89.068197,0.00565,-5.650052,0.005679,-5.679188
5344.091797,89.068197,0.00565,-5.650052,0.005679,-5.679188
5349.716797,89.161947,0.00566,-5.660346,0.005686,-5.685944
5349.716797,89.161947,0.00566,-5.660346,0.005686,-5.685944
5355.341797,89.255697,0.00567,-5.670144,0.005692,-5.692246
5355.341797,89.255697,0.00567,-5.670144,0.005692,-5.692246
5363.779297,89.396322,0.005683,-5.682724,0.005699,-5.699079
5363.779297,89.396322,0.005683,-5.682724,0.005699,-5.699079
5376.435547,89.607259,0.005678,-5.678318,0.005678,-5.677945
5376.435547,89.607259,0.005678,-5.678318,0.005678,-5.677945
5381.181641,89.686361,0.005675,-5.674503,0.005667,-5.666784
5381.181641,89.686361,0.005675,-5.674503,0.005667,-5.666784
5388.300781,89.805013,0.005668,-5.667916,0.005648,-5.648446
5388.300781,89.805013,0.005668,-5.667916,0.005648,-5.648446
5390.970703,89.849512,0.005666,-5.666313,0.005641,-5.64091
5390.970703,89.849512,0.005666,-5.666313,0.005641,-5.64091
5391.97168,89.866195,0.00567,-5.669568,0.005631,-5.631276
5391.97168,89.866195,0.00567,-5.669568,0.005631,-5.631276
5392.972656,89.882878,0.005682,-5.681922,0.005616,-5.615608
5392.972656,89.882878,0.005682,-5.681922,0.005616,-5.615608
5393.974121,89.899569,0.005702,-5.701687,0.005605,-5.60512
5393.974121,89.899569,0.005702,-5.701687,0.005605,-5.60512
5395.475586,89.924593,0.005736,-5.735901,0.005599,-5.598678
5395.475586,89.924593,0.005736,-5.735901,0.005599,-5.598678
5397.728027,89.962134,0.005779,-5.778987,0.005598,-5.597985
5397.728027,89.962134,0.005779,-5.778987,0.005598,-5.597985
5399.980957,89.999683,0.005812,-5.811634,0.005599,-5.598831
5399.980957,89.999683,0.005812,-5.811634,0.005599,-5.598831
5402.233398,90.037223,0.005835,-5.834847,0.005599,-5.598567
5402.233398,90.037223,0.005835,-5.834847,0.005599,-5.598567
5405.612305,90.093538,0.005861,-5.860962,0.005595,-5.594718
5405.612305,90.093538,0.005861,-5.860962,0.005595,-5.594718
5410.680176,90.178003,0.005893,-5.893402,0.005587,-5.58707
5410.680176,90.178003,0.005893,-5.893402,0.005587,-5.58707
5418.282715,90.304712,0.005949,-5.94918,0.005586,-5.585908
5418.282715,90.304712,0.005949,-5.94918,0.005586,-5.585908
5429.686035,90.494767,0.006049,-6.048937,0.00562,-5.619514
5429.686035,90.494767,0.006049,-6.048937,0.00562,-5.619514
5441.089355,90.684823,0.006153,-6.152753,0.005671,-5.670699
5441.089355,90.684823,0.006153,-6.152753,0.005671,-5.670699
5452.493164,90.874886,0.006261,-6.261218,0.005739,-5.738849
5452.493164,90.874886,0.006261,-6.261218,0.005739,-5.738849
5463.896484,91.064941,0.006366,-6.365765,0.005828,-5.828303
5463.896484,91.064941,0.006366,-6.365765,0.005828,-5.828303
5475.299805,91.254997,0.006456,-6.45574,0.005903,-5.902662
5475.299805,91.254997,0.006456,-6.45574,0.005903,-5.902662
5492.405273,91.540088,0.006589,-6.58857,0.006013,-6.013022
5492.405273,91.540088,0.006589,-6.58857,0.006013,-6.013022
5518.062988,91.967716,0.006768,-6.768347,0.00614,-6.139781
5518.062988,91.967716,0.006768,-6.768347,0.00614,-6.139781
5527.68457,92.128076,0.006829,-6.828539,0.006176,-6.176033
5527.68457,92.128076,0.006829,-6.828539,0.006176,-6.176033
5542.117188,92.36862,0.006921,-6.921275,0.006228,-6.227692
5542.117188,92.36862,0.006921,-6.921275,0.006228,-6.227692
5563.766113,92.729435,0.007124,-7.123795,0.00631,-6.310453
5563.766113,92.729435,0.007124,-7.123795,0.00631,-6.310453
5569.178223,92.819637,0.007195,-7.194901,0.006335,-6.335317
5569.178223,92.819637,0.007195,-7.194901,0.006335,-6.335317
5569.516602,92.825277,0.007199,-7.199438,0.006337,-6.336866
5569.516602,92.825277,0.007199,-7.199438,0.006337,-6.336866
5569.85498,92.830916,0.007204,-7.204088,0.006338,-6.338459
5569.85498,92.830916,0.007204,-7.204088,0.006338,-6.338459
5570.193359,92.836556,0.007209,-7.208862,0.00634,-6.340066
5570.193359,92.836556,0.007209,-7.208862,0.00634,-6.340066
5570.700684,92.845011,0.007216,-7.216333,0.006343,-6.342518
5570.700684,92.845011,0.007216,-7.216333,0.006343,-6.342518
5571.461426,92.85769,0.007228,-7.2283,0.006346,-6.346308
5571.461426,92.85769,0.007228,-7.2283,0.006346,-6.346308
5572.603027,92.876717,0.007248,-7.248278,0.006352,-6.352205
5572.603027,92.876717,0.007248,-7.248278,0.006352,-6.352205
5573.03125,92.883854,0.007256,-7.256091,0.006354,-6.354411
5573.03125,92.883854,0.007256,-7.256091,0.006354,-6.354411
5573.67334,92.894556,0.007269,-7.268668,0.006358,-6.357613
5573.67334,92.894556,0.007269,-7.268668,0.006358,-6.357613
5573.914551,92.898576,0.007274,-7.273519,0.006359,-6.358775
5573.914551,92.898576,0.007274,-7.273519,0.006359,-6.358775
5574.275391,92.90459,0.007281,-7.281123,0.00636,-6.360392
5574.275391,92.90459,0.007281,-7.281123,0.00636,-6.360392
5574.817383,92.913623,0.007293,-7.293386,0.006362,-6.362001
5574.817383,92.913623,0.007293,-7.293386,0.006362,-6.362001
5574.952637,92.915877,0.007296,-7.296491,0.006362,-6.362325
5574.952637,92.915877,0.007296,-7.296491,0.006362,-6.362325
5575.088379,92.91814,0.0073,-7.299641,0.006363,-6.362551
5575.088379,92.91814,0.0073,-7.299641,0.006363,-6.362551
5575.223633,92.920394,0.007303,-7.30281,0.006363,-6.362638
5575.223633,92.920394,0.007303,-7.30281,0.006363,-6.362638
5575.359375,92.922656,0.007306,-7.305917,0.006362,-6.362497
5575.359375,92.922656,0.007306,-7.305917,0.006362,-6.362497
5575.393066,92.923218,0.007307,-7.306685,0.006362,-6.362445
5575.393066,92.923218,0.007307,-7.306685,0.006362,-6.362445
5575.426758,92.923779,0.007307,-7.307441,0.006362,-6.362373
5575.426758,92.923779,0.007307,-7.307441,0.006362,-6.362373
5575.460938,92.924349,0.007308,-7.308181,0.006362,-6.362275
5575.460938,92.924349,0.007308,-7.308181,0.006362,-6.362275
5575.494629,92.92491,0.007309,-7.308899,0.006362,-6.362147
5575.494629,92.92491,0.007309,-7.308899,0.006362,-6.362147
5575.528809,92.92548,0.00731,-7.309589,0.006362,-6.361978
5575.528809,92.92548,0.00731,-7.309589,0.006362,-6.361978
5575.5625,92.926042,0.00731,-7.310241,0.006362,-6.361756
5575.5625,92.926042,0.00731,-7.310241,0.006362,-6.361756
5575.570801,92.92618,0.00731,-7.310401,0.006362,-6.361698
5575.570801,92.92618,0.00731,-7.310401,0.006362,-6.361698
5575.57959,92.926326,0.007311,-7.310559,0.006362,-6.361636
5575.57959,92.926326,0.007311,-7.310559,0.006362,-6.361636
5575.587891,92.926465,0.007311,-7.310714,0.006362,-6.36157
5575.587891,92.926465,0.007311,-7.310714,0.006362,-6.36157
5575.596191,92.926603,0.007311,-7.310866,0.006361,-6.361499
5575.596191,92.926603,0.007311,-7.310866,0.006361,-6.361499
5575.60498,92.92675,0.007311,-7.311015,0.006361,-6.361424
5575.60498,92.92675,0.007311,-7.311015,0.006361,-6.361424
5575.613281,92.926888,0.007311,-7.311161,0.006361,-6.361344
5575.613281,92.926888,0.007311,-7.311161,0.006361,-6.361344
5575.625977,92.9271,0.007311,-7.311371,0.006361,-6.361211
5575.625977,92.9271,0.007311,-7.311371,0.006361,-6.361211
5575.64502,92.927417,0.007312,-7.311669,0.006361,-6.360976
5575.64502,92.927417,0.007312,-7.311669,0.006361,-6.360976
5575.67334,92.927889,0.007312,-7.312072,0.006361,-6.360526
5575.67334,92.927889,0.007312,-7.312072,0.006361,-6.360526
5575.702148,92.928369,0.007312,-7.312432,0.00636,-6.359969
5575.702148,92.928369,0.007312,-7.312432,0.00636,-6.359969
5575.730469,92.928841,0.007313,-7.312749,0.006359,-6.359302
5575.730469,92.928841,0.007313,-7.312749,0.006359,-6.359302
5575.759277,92.929321,0.007313,-7.313022,0.006359,-6.358532
5575.759277,92.929321,0.007313,-7.313022,0.006359,-6.358532
5575.788086,92.929801,0.007313,-7.313258,0.006358,-6.35768
5575.788086,92.929801,0.007313,-7.313258,0.006358,-6.35768
5575.830566,92.930509,0.007314,-7.313554,0.006356,-6.356305
5575.830566,92.930509,0.007314,-7.313554,0.006356,-6.356305
5575.89502,92.931584,0.007314,-7.313988,0.006354,-6.3544
5575.89502,92.931584,0.007314,-7.313988,0.006354,-6.3544
5575.991211,92.933187,0.007315,-7.314939,0.006353,-6.352676
5575.991211,92.933187,0.007315,-7.314939,0.006353,-6.352676
5576.087891,92.934798,0.007316,-7.316369,0.006352,-6.352398
5576.087891,92.934798,0.007316,-7.316369,0.006352,-6.352398
5576.184082,92.936401,0.007318,-7.318338,0.006354,-6.353553
5576.184082,92.936401,0.007318,-7.318338,0.006354,-6.353553
5576.208496,92.936808,0.007319,-7.318862,0.006354,-6.353928
5576.208496,92.936808,0.007319,-7.318862,0.006354,-6.353928
5576.232422,92.937207,0.007319,-7.319418,0.006354,-6.354387
5576.232422,92.937207,0.007319,-7.319418,0.006354,-6.354387
5576.256836,92.937614,0.00732,-7.320006,0.006355,-6.354926
5576.256836,92.937614,0.00732,-7.320006,0.006355,-6.354926
5576.280762,92.938013,0.007321,-7.320624,0.006356,-6.355542
5576.280762,92.938013,0.007321,-7.320624,0.006356,-6.355542
5576.286621,92.93811,0.007321,-7.320781,0.006356,-6.3557
5576.286621,92.93811,0.007321,-7.320781,0.006356,-6.3557
5576.288086,92.938135,0.007321,-7.32082,0.006356,-6.35574
5576.288086,92.938135,0.007321,-7.32082,0.006356,-6.35574
5576.290527,92.938175,0.007321,-7.320879,0.006356,-6.3558
5576.290527,92.938175,0.007321,-7.320879,0.006356,-6.3558
5576.293945,92.938232,0.007321,-7.320967,0.006356,-6.355891
5576.293945,92.938232,0.007321,-7.320967,0.006356,-6.355891
5576.297363,92.938289,0.007321,-7.321056,0.006356,-6.355984
5576.297363,92.938289,0.007321,-7.321056,0.006356,-6.355984
5576.300781,92.938346,0.007321,-7.321146,0.006356,-6.356078
5576.300781,92.938346,0.007321,-7.321146,0.006356,-6.356078
5576.305664,92.938428,0.007321,-7.321282,0.006356,-6.356221
5576.305664,92.938428,0.007321,-7.321282,0.006356,-6.356221
5576.307617,92.93846,0.007321,-7.321333,0.006356,-6.356276
5576.307617,92.93846,0.007321,-7.321333,0.006356,-6.356276
5576.310547,92.938509,0.007321,-7.321409,0.006356,-6.356358
5576.310547,92.938509,0.007321,-7.321409,0.006356,-6.356358
5576.314941,92.938582,0.007322,-7.321525,0.006356,-6.356482
5576.314941,92.938582,0.007322,-7.321525,0.006356,-6.356482
