Time in Seconds,Time in Minutes,Displacement in m,Displacement in mm-O,Displacement in mm
9546.314453,159.105241,0.010761,10.760918,-10.760918
9546.314453,159.105241,0.010761,10.760918,-10.760918
9606.314453,160.105241,0.010787,10.787379,-10.787379
9606.314453,160.105241,0.010787,10.787379,-10.787379
9666.314453,161.105241,0.010809,10.809089,-10.809089
9666.314453,161.105241,0.010809,10.809089,-10.809089
9726.314453,162.105241,0.010849,10.848902,-10.848902
9726.314453,162.105241,0.010849,10.848902,-10.848902
9786.314453,163.105241,0.010926,10.92626,-10.92626
9786.314453,163.105241,0.010926,10.92626,-10.92626
9846.314453,164.105241,0.010951,10.950527,-10.950527
9846.314453,164.105241,0.010951,10.950527,-10.950527
9906.314453,165.105241,0.010968,10.967804,-10.967804
9906.314453,165.105241,0.010968,10.967804,-10.967804
9966.314453,166.105241,0.01098,10.979502,-10.979502
9966.314453,166.105241,0.01098,10.979502,-10.979502
10026.31445,167.105241,0.011008,11.008095,-11.008095
10026.31445,167.105241,0.011008,11.008095,-11.008095
10086.31445,168.105241,0.011022,11.021852,-11.021852
10086.31445,168.105241,0.011022,11.021852,-11.021852
10146.31445,169.105241,0.011095,11.095358,-11.095358
10146.31445,169.105241,0.011095,11.095358,-11.095358
10206.31445,170.105241,0.011068,11.067735,-11.067735
10206.31445,170.105241,0.011068,11.067735,-11.067735
10266.31445,171.105241,0.011137,11.136601,-11.136601
10266.31445,171.105241,0.011137,11.136601,-11.136601
10326.31445,172.105241,0.011098,11.097894,-11.097894
10326.31445,172.105241,0.011098,11.097894,-11.097894
10386.31445,173.105241,0.011174,11.173503,-11.173503
10386.31445,173.105241,0.011174,11.173503,-11.173503
10446.31445,174.105241,0.013305,13.304668,-13.304668
10446.31445,174.105241,0.013305,13.304668,-13.304668
10450.06445,174.167741,0.014469,14.468914,-14.468914
10450.06445,174.167741,0.014469,14.468914,-14.468914
10453.81445,174.230241,0.015729,15.728926,-15.728926
10453.81445,174.230241,0.015729,15.728926,-15.728926
10457.56445,174.292741,0.01704,17.039713,-17.039713
